File,Class,Animation,Frame,X,Y
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04,34,199.55,-64.8
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04,35,151.6,-213.6
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04,36,26.05,-280.05
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04,37,26.05,-280.05
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04Hit,0,-45.15,-274.7
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04Hit,1,-45.15,-274.7
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04Hit,2,-45.15,-274.7
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04Hit,3,-45.15,-274.7
Animation_Axe.anm,a__AxeAnimation,AttackSpecialApoc04Hit,4,255.85,-169.7
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,0,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,1,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,2,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,3,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,4,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,5,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,6,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,7,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,8,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,9,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,10,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,11,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,12,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,13,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,14,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,15,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,16,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,17,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,18,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,19,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,20,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,21,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,22,120.5,0
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,23,117.45,-21
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3c,24,114.45,-32
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3Hit,0,-125.05,-65
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3Hit,1,-152.1,-78
