File,Class,Animation,FreeStart
Animation_Axe.anm,a__AxeAnimation,AttackNeutral,14
Animation_Axe.anm,a__AxeAnimation,AttackSpecialValkyrie2,45
Animation_Axe.anm,a__AxeAnimation,AttackSpecialMinotaur1,55
Animation_Axe.anm,a__AxeAnimation,AttackSpecialMinotaur2Grounded,14
Animation_Axe.anm,a__AxeAnimation,AttackSpecialDwarf4,55
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3Hit,27
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute4,51
Animation_Axe.anm,a__AxeAnimation,AttackSpecialBrute3HitSwapAmethyst,27
Animation_Axe.anm,a__AxeAnimation,RunStop,7
Animation_Axe.anm,a__AxeAnimation,DashToReady,7
Animation_Axe.anm,a__AxeAnimation,DashBack,10
Animation_Axe.anm,a__AxeAnimation,RunStopSpongebobAxe,7
Animation_Axe.anm,a__AxeAnimation,DashToReadySpongebobAxe,7
Animation_Axe.anm,a__AxeAnimation,DashBackSpongebobAxe,10
Animation_Axe.anm,a__AxeAnimation,AttackNeutral_SwapSpongebob,14
Animation_Axe.anm,a__AxeAnimation,RunStopPatrickAxe,7
Animation_Axe.anm,a__AxeAnimation,DashToReadyPatrickAxe,7
Animation_Axe.anm,a__AxeAnimation,DashBackPatrickAxe,10
Animation_Axe.anm,a__AxeAnimation,AttackNeutral_SwapPatrick,14
Animation_Axe.anm,a__AxeAnimation,AttackSpecialMinotaur1_SwapPatrick,55
Animation_Axe.anm,a__AxeAnimation,AttackSpecialMinotaur2Grounded_SwapPatrick,14
Animation_Axe.anm,a__AxeAnimation,AttackSpecialImugi4Ground,7
Animation_Boots.anm,a__BootsAnimation,AttackSpecialLuchador04,43
Animation_Boots.anm,a__BootsAnimation,AttackSpecialLuchador04Ground,5
Animation_Boots.anm,a__BootsAnimation,AttackSpecialLuchador05,40
Animation_Boots.anm,a__BootsAnimation,AttackSpecialLuchador05Hit,15
Animation_Boots.anm,a__BootsAnimation,AttackSpecialAssassin1,44
Animation_Boots.anm,a__BootsAnimation,AttackSpecialAssassin5Release,9
Animation_Boots.anm,a__BootsAnimation,AttackSpecialAssassin1_SwapMegaman,44
Animation_Boots.anm,a__BootsAnimation,AttackSpecialAssassin5Release_SwapMegaman,9
